,Brand,All_vegan,Partial_vegan,Bad_parent_company,Black_owned,Ulta,Sephora,Beauty_Bay,Cult_Beauty,Nordstrom
866,Vapour Organic Beauty,False,False,False,False,0,0,0,0,0
867,Velvet 59,True,False,False,False,0,0,0,0,0
868,Verdant Botanicals,True,False,False,False,0,0,0,0,0
869,Versed,True,False,False,False,0,0,0,0,0
870,"Vintage Cosmetic Company, The",False,False,False,False,1,0,0,0,0
871,Vitacare,False,False,False,False,0,0,0,0,0
872,VoilaVe,False,False,False,False,0,0,0,0,0
873,Volition Beauty,False,False,False,False,0,1,0,1,0
874,W.S. Badger,False,False,False,False,0,0,0,0,0
875,W3ll People,False,False,False,False,0,0,0,0,0
876,WLKDKAT,True,False,False,False,0,0,0,0,0
877,Wabi-Sabi Botanicals,True,False,False,False,0,0,0,0,0
878,Waitrose,False,False,False,False,0,0,0,0,0
879,Wander Beauty,False,False,False,False,0,1,0,1,1
880,We Love Eyes,True,False,False,False,0,0,0,0,0
881,Weleda,False,False,False,False,0,0,0,0,0
882,"Well Organics, The",False,False,False,False,0,0,0,0,0
883,Well Scent,True,False,False,False,0,0,0,0,0
884,Wellness Prioritized,True,False,False,False,0,0,0,0,0
885,Wen by Chaz Dean,False,False,False,False,0,0,0,0,0
886,Whole Foods Brand/365,False,False,False,False,0,0,0,0,0
887,WildMint Cosmetics,True,False,False,False,0,0,0,0,0
888,Wrenn,True,False,False,False,0,0,0,0,0
889,XX Revolution,False,False,False,False,1,0,0,0,0
890,Xenca,False,False,False,False,0,0,0,0,0
891,Xyrena,True,False,False,False,0,0,0,0,0
892,YASOU natural skin care,False,False,False,False,0,0,0,0,0
893,YLLO Scrub,True,False,False,False,0,0,0,0,0
894,Yaby Cosmetics,False,False,False,False,0,0,0,0,0
895,Yarok,False,False,False,False,0,0,0,0,0
896,Yes to,False,False,False,False,1,0,1,0,0
897,Yorba Organics,False,False,False,False,0,0,0,0,0
898,Youngblood Mineral Cosmetics,False,False,False,False,0,0,0,0,0
899,Youth to the People,True,False,True,False,0,1,0,0,0
900,Yu-Be,False,False,False,False,0,0,0,0,0
901,Z Natural Life,True,False,False,False,0,0,0,0,0
902,Z Palette,False,False,False,False,0,0,1,0,0
903,ZAK Body Care/ZAK Detox Deodorant,False,False,False,False,0,0,0,0,0
904,Zabana Essentials,True,False,False,False,0,0,0,0,0
905,Zaya Eco Skincare,True,False,False,False,0,0,0,0,0
906,Zoella Beauty,False,False,False,False,0,0,0,0,0
907,Zoeva,False,False,False,False,1,1,1,1,0
908,Zoya,False,False,False,False,1,0,0,0,0
909,ZuZu Luxe,False,False,False,False,0,0,0,0,0
910,Zurvita,False,False,False,False,0,0,0,0,0
911,Zyderma HS,True,False,False,False,0,0,0,0,0
912,bare Minerals,False,True,True,False,1,1,0,0,1
913,beautyblender,False,False,False,False,1,1,1,1,1
914,bkr,False,False,False,False,0,1,0,0,0
915,butter LONDON,False,False,False,False,0,0,0,0,1
916,dermaGEEK,True,False,True,False,0,0,0,0,0
917,oVertone,True,False,False,False,0,0,0,0,0
918,piCture pOlish,False,False,False,False,0,0,0,0,0
919,skyn ICELAND,True,False,False,False,1,0,0,1,0
920,theBalm (The Balm),False,False,False,False,0,0,1,0,0
921,washbeautyco. by MaskerAide,True,False,False,False,0,0,0,0,0
